src_page,dest_page
3079917,3095842
4092515,5407855
4092515,9065502
4426077,9889658
1751622,2551418
4283123,5997578
2931008,5181712
4348645,5550938
4426079,9889658
2662971,3172753
4092521,4434370
4336737,5186480
3079925,3095863
3079925,3095842
5259989,9637767
4336739,5186480
3264575,5179221
3264575,5179124
3264579,5482978
3264579,5179221
3264579,5179124
2543847,9899445
3264572,5179221
3264572,5179124
2954840,5181712
2954840,4276523
2954840,3169470
2615322,5168543
2615322,10381947
3073976,3095842
3264585,5179221
3264585,5179124
3079935,3095863
3079935,3095842
2829764,3095800
2829764,3095797
2829764,3095792
2829764,3095765
2829764,3095759
2829764,3095745
2829764,3095737
2829764,3095728
2829764,3095713
2484282,9848394
2484282,5104362
774777,1301429
2954848,4276523
2954848,3818692
2954848,3169470
2978677,9567230
2972721,4067692
3133546,9848394
3068025,9899445
2859550,4752950
2859550,4165401
2859550,4136802
2859550,4136541
2805935,3169640
2954855,4276523
2954855,3169470
2454509,3818709
3693448,6253868
3264594,5483013
3264594,5179221
3264594,5179124
2627252,3169416
2627252,3169400
2627252,3169395
2627252,3169382
2627252,3169360
2627252,3169344
2573646,9848394
2573646,3169486
2573646,3169477
2573646,3169470
2573646,3169457
3079945,3095863
30241,8166652
30241,1345297
30241,1345294
30241,1345292
30241,183790
30241,43588
30241,37245
30241,31728
4336759,5186480
2972733,4306681
2972733,3916697
2972733,3916200
4807326,5811157
548462,8166652
548462,1345297
548462,1345294
548462,1345292
548462,858662
2543877,9899445
3068046,9899445
4640552,5104362
3115700,5168543
143429,252702
2484315,9848394
2484315,2917246
4640553,5104362
4205732,5181712
3079964,3095863
3079964,3095842
2972748,3730910
3068042,9899445
3264618,5179221
3264618,5179124
4289129,5102359
2627275,3169457
2627275,3169416
2627275,3169400
2627275,3169395
2627275,3169382
2627275,3169360
3068050,9899445
2555801,3172756
2555801,3169470
2972755,3730910
2561761,5105363
3068059,9899445
3079973,3095863
3079973,3095842
83872,1605305
488920,8166652
3079981,3095863
3079981,3095842
2829810,4276488
2829810,4276472
2829810,4276454
3359932,3730910
4009190,4070083
3068066,9899445
3562452,4072500
3651804,4084927
518653,3066446
3115726,5168543
3079986,3095863
3079986,3095842
864187,1377187
4414234,4633856
2627296,3169416
2627296,3169400
2627296,3169395
2627296,3169382
2627296,3169360
2627296,3169344
3562462,4072500
3079988,3095863
3079988,3095842
3068070,9899445
3068070,3095842
3068076,9899445
3079991,3095863
3079991,3095842
3079991,3095759
30273,9858323
30273,8166652
30273,1345297
30273,1345294
30273,1345292
30273,553375
30273,183790
30273,68162
30273,43588
30273,37245
30273,31728
30273,1905969
30273,34448
1346665,9334100
1346665,4238337
1346665,3933868
1346665,3907600
1346665,3440651
1346665,3414046
1346665,3329086
1346665,2654220
1346665,1517055
2746432,5104362
2746432,3172760
3598207,5182744
3598207,3818714
3830509,10286151
2937042,5181578
4289158,6040104
3830512,4313094
3169344,10555219
3169344,10207260
3169344,9860073
3169344,9734712
3169344,9734694
3169344,9734689
3169344,9734657
3169344,9734620
3169344,9487148
3169344,9091883
3169344,8616560
3169344,8083484
3169344,7578072
3169344,6486890
3169344,6052274
3169344,5561216
3169344,5434510
3169344,5085779
3169344,4647527
3169344,4631973
3169344,4631371
3169344,4629116
3169344,4627810
3169344,4527880
3169344,4340552
3169344,4152913
3169344,3616101
3169344,3616087
3169344,3616079
3169344,3616067
3169344,3616062
3169344,3615968
3169344,3615943
3169344,3615936
3169344,3615909
3169344,3615895
3169344,3615877
3169344,3615867
3169344,3615859
3169344,3615855
3169344,3615847
3169344,3615842
3169344,3615833
3169344,3615828
3169344,3615822
3169344,3615807
3169344,3615794
3169344,3615784
3169344,3615757
3169344,3615742
3169344,3615723
3169344,3615712
3169344,3615707
3169344,3615703
3169344,3615698
3169344,3615689
3169344,3615684
3169344,3615677
3169344,3615674
3169344,3615671
3169344,3615668
3169344,3615666
3169344,3615662
3169344,3615659
3169344,3615656
3169344,3615651
3169344,3615646
3169344,3615643
3169344,3615641
3169344,3615636
3169344,3615634
3169344,3615632
3169344,3615627
3169344,3615615
3169344,3400653
3169344,3253464
3115738,5168543
3115738,4084927
3830513,4313094
2615398,3169457
2615398,3169344
3068091,9899445
8524204,10226399
2627315,3169416
2627315,3169400
2627315,3169395
2627315,3169382
2627315,3169360
2627315,3169344
2526057,5170108
2526057,2917245
3628001,5444899
3628001,5183072
4807380,5533823
500864,1301429
399582,8166652
399582,1345292
7815392,9806318
3633961,6213683
3633961,5407855
2948969,5221171
3115750,5168543
2484355,9848394
2484355,5105363
2758363,9899445
2543918,9899445
2543918,3095759
2508190,2917246
3169360,10555219
3169360,10207260
3169360,9860073
3169360,9734712
3169360,9734694
3169360,9734689
3169360,9734657
3169360,9734620
3169360,9487148
3169360,9091883
3169360,8616560
3169360,8083484
3169360,7578072
3169360,6486890
3169360,6052274
3169360,5561216
3169360,5085779
3169360,4647527
3169360,4152913
3169360,4057711
3169360,4057710
3169360,3615659
9995458,10052696
2728584,5182744
3598227,4276495
2948975,4313139
1346689,10038100
1346689,9806318
1346689,9662174
1346689,9462855
1346689,9076169
1346689,8663773
1346689,8603398
1346689,8105185
1346689,8085277
1346689,6658167
1346689,6393950
1346689,6388740
1346689,5215729
1346689,4084303
1346689,3989119
1346689,3440730
1346689,3440410
1346689,3044888
1346689,2905831
1346689,2428033
1346689,2354222
1346689,1944853
1346689,1883463
2627327,3169416
2627327,3169400
2627327,3169395
2627327,3169382
2627327,3169360
2627327,3169344
3699489,3877271
3020452,5174557
3068080,9899445
3068107,9899445
3169367,9734694
3169367,9734657
3169367,4357661
3169367,4357612
3258716,5482978
125621,273094
4354708,6300410
4354708,5699889
3115766,5168543
2657121,9848394
3080029,3095863
3080029,3095842
2794121,3766175
2794121,3766158
3068119,9899445
3931805,4313139
3699501,3877271
9423658,9637767
2627338,3169640
2627338,3169416
2627338,3169400
2627338,3169395
2627338,3169382
2627338,3169360
2627338,3169344
3931808,4087523
3639942,5971311
3943720,4481490
3371896,4912227
3371896,4084927
3115772,5168543
10031221,10052696
3169382,10555219
3169382,10207260
3169382,9860073
3169382,9734712
3169382,9734694
3169382,9734689
3169382,9734657
3169382,9734620
3169382,9487148
