src_id,src_community,dest_id,dest_community
82876,0,10314126,0
82876,0,10315584,0
82876,0,10316797,0
82876,0,10320849,0
82876,0,10327641,3
82876,0,10335246,3
82876,0,10335735,0
82876,0,10341314,0
82876,0,10341612,0
82876,0,10348607,0
82876,0,10349978,3
82876,0,10350423,0
82876,0,10354313,0
82876,0,1035709,0
82876,0,10359922,0
82876,0,10361555,3
82876,0,10361780,0
82876,0,10361931,3
82876,0,10363144,3
82876,0,1036405,3
82876,0,10364362,27
82876,0,10365088,0
82876,0,10368353,3
82876,0,10373996,3
82876,0,10375361,0
82876,0,10376133,3
82876,0,10377227,3
82876,0,10378000,3
82876,0,10380586,3
82876,0,10380684,3
82876,0,10381180,3
82876,0,10382381,0
82876,0,10386110,0
82876,0,10386683,4
82876,0,10392031,0
82876,0,10393200,0
82876,0,10393278,0
82876,0,10393767,30
82876,0,10400013,22
82876,0,10401144,0
82876,0,10401227,0
82876,0,10401383,3
82876,0,10403830,3
82876,0,10404585,0
82876,0,10407796,0
82876,0,10409957,0
82876,0,10410067,3
82876,0,10410800,22
82876,0,10411804,3
82876,0,1041321,3
82876,0,10415440,3
82876,0,1041598,20
82876,0,10421927,0
82876,0,10422958,0
82876,0,1042399,0
82876,0,1042417,0
82876,0,1042447,0
82876,0,1042450,0
82876,0,1042455,0
82876,0,10430049,3
82876,0,1043776,0
82876,0,10438815,0
82876,0,10442977,3
82876,0,10445200,0
82876,0,10445989,3
82876,0,10446280,3
82876,0,10453144,0
82876,0,10453616,0
82876,0,10454100,0
82876,0,10455045,0
82876,0,10455551,0
82876,0,10456666,3
82876,0,10456888,4
82876,0,10457098,0
82876,0,10457532,0
82876,0,10457955,4
82876,0,10461700,0
82876,0,10465292,3
82876,0,10465900,0
82876,0,10466274,0
82876,0,10468492,21
82876,0,10468789,0
82876,0,10470779,0
82876,0,10471469,3
82876,0,10473881,0
82876,0,10474361,0
82876,0,10474647,0
82876,0,10476353,3
82876,0,10482579,3
82876,0,10484137,0
82876,0,10488708,3
82876,0,10489367,3
82876,0,10489892,0
82876,0,10490655,3
82876,0,10490657,15
82876,0,10491390,3
82876,0,10491403,3
82876,0,10491404,3
82876,0,10491406,3
82876,0,10491408,3
82876,0,10491409,3
82876,0,10491412,3
82876,0,10491415,3
82876,0,10491416,3
82876,0,10491421,3
82876,0,10491423,3
82876,0,10491428,3
82876,0,10491431,3
